fund,action,rank,client_key,business_relationship,country,segment,score,current_target_aum_eur,total_relationship_aum_eur,reason_1,reason_2,reason_3
EDR SICAV - Corporate Hybrid Bonds,new_allocation,2,HELVETIC INVESTOR GROUP (ex INVESTOR GESTION SA) | SWITZERLAND | Independant Financial Advisor,HELVETIC INVESTOR GROUP (ex INVESTOR GESTION SA),SWITZERLAND,Independant Financial Advisor,78.37,0.0,602485.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,3,ERES GESTION | FRANCE | AM company / Fund of Funds,ERES GESTION,FRANCE,AM company / Fund of Funds,75.46,0.0,18513306.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,4,CHENTON SA | SWITZERLAND | Independant Financial Advisor,CHENTON SA,SWITZERLAND,Independant Financial Advisor,74.55,0.0,17655433.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,5,EPSOR (Marque de FREMAVI SAS) | FRANCE | Independant Financial Advisor,EPSOR (Marque de FREMAVI SAS),FRANCE,Independant Financial Advisor,73.67,0.0,20529671.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,6,PR1ME AQUILA PARTNERS AG | SWITZERLAND | Independant Financial Advisor,PR1ME AQUILA PARTNERS AG,SWITZERLAND,Independant Financial Advisor,73.42,0.0,2350742.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,7,"EDR FRANCE, EDRAC / AXA FRANCE VIE (Technical) | FRANCE | Bank / EdR Private Banking","EDR FRANCE, EDRAC / AXA FRANCE VIE (Technical)",FRANCE,Bank / EdR Private Banking,72.95,0.0,19536434.0,large existing EdRAM relationship,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve
EDR SICAV - Corporate Hybrid Bonds,new_allocation,8,GPM ASSURANCES SA | FRANCE | Insurance Company / Mutuelle,GPM ASSURANCES SA,FRANCE,Insurance Company / Mutuelle,72.44,0.0,2417469.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,9,"CAJA LABORAL GESTION, S.G.I.I.C., S.A. (LABORAL KUTXA) | SPAIN | AM company / Own account","CAJA LABORAL GESTION, S.G.I.I.C., S.A. (LABORAL KUTXA)",SPAIN,AM company / Own account,72.34,0.0,51535439.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,10,ODDO BHF ASSET MANAGEMENT SAS (France) | FRANCE | AM company / Fund of Funds,ODDO BHF ASSET MANAGEMENT SAS (France),FRANCE,AM company / Fund of Funds,71.66,0.0,33516066.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,11,CDC CROISSANCE | FRANCE | AM company / Own account,CDC CROISSANCE,FRANCE,AM company / Own account,71.16,0.0,25005423.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,12,NORTIA LA MONDIALE / ALLFUNDS | FRANCE | Independant Financial Advisor,NORTIA LA MONDIALE / ALLFUNDS,FRANCE,Independant Financial Advisor,70.8,0.0,16427742.0,segment is a natural fit for this fund,large existing EdRAM relationship,low current exposure leaves whitespace for a new sleeve
EDR SICAV - Corporate Hybrid Bonds,new_allocation,13,DEUTSCHE ASSET & WEALTH MANAGEMENT | SWITZERLAND | AM company / Own account,DEUTSCHE ASSET & WEALTH MANAGEMENT,SWITZERLAND,AM company / Own account,70.66,0.0,431158.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,14,LES ASSOCIATIONS MUTUELLES LE CONSERVATEUR | FRANCE | Insurance Company / Mutuelle,LES ASSOCIATIONS MUTUELLES LE CONSERVATEUR,FRANCE,Insurance Company / Mutuelle,69.84,0.0,5635929.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,15,ALLIANZ GLOBAL INVESTORS FRANCE SA (ex AGF AM) | FRANCE | AM company / Fund of Funds,ALLIANZ GLOBAL INVESTORS FRANCE SA (ex AGF AM),FRANCE,AM company / Fund of Funds,69.74,0.0,5720251.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,16,KEANE MATHEZ & CIE | SWITZERLAND | Independant Financial Advisor,KEANE MATHEZ & CIE,SWITZERLAND,Independant Financial Advisor,69.64,0.0,651354.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,17,AMUNDI ITALIA / FUND CHANNEL | ITALY | AM company / Fund of Funds,AMUNDI ITALIA / FUND CHANNEL,ITALY,AM company / Fund of Funds,69.32,0.0,4499747.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,18,FININT - BANCA CONSULIA (EX. UNICA SIM) | ITALY | Independant Financial Advisor,FININT - BANCA CONSULIA (EX. UNICA SIM),ITALY,Independant Financial Advisor,69.2,0.0,566365.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,19,APICIL MUTUELLE / INTENCIAL | FRANCE | Insurance Company / Mutuelle,APICIL MUTUELLE / INTENCIAL,FRANCE,Insurance Company / Mutuelle,68.99,0.0,58626.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,20,AMUNDI AM / FUND CHANNEL | FRANCE | AM company / Fund of Funds,AMUNDI AM / FUND CHANNEL,FRANCE,AM company / Fund of Funds,68.84,0.0,23905191.0,large existing EdRAM relationship,low current exposure leaves whitespace for a new sleeve,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,21,NORTIA INVEST / NO REBATE | FRANCE | Independant Financial Advisor,NORTIA INVEST / NO REBATE,FRANCE,Independant Financial Advisor,68.74,0.0,1134364.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,22,"BPI GESTÃO DE ATIVOS - Sociedade Gestora de Organismos de Investimento Coletivo, SA | PORTUGAL | AM company / Fund of Funds","BPI GESTÃO DE ATIVOS - Sociedade Gestora de Organismos de Investimento Coletivo, SA",PORTUGAL,AM company / Fund of Funds,68.58,0.0,11433352.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,23,GONET & CIE SA | SWITZERLAND | Bank / Private Banking,GONET & CIE SA,SWITZERLAND,Bank / Private Banking,68.47,0.0,4262840.0,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship,segment is a natural fit for this fund
EDR SICAV - Corporate Hybrid Bonds,new_allocation,24,DUBLY DOUILHET | FRANCE | Independant Financial Advisor,DUBLY DOUILHET,FRANCE,Independant Financial Advisor,68.41,0.0,56478.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EDR SICAV - Corporate Hybrid Bonds,new_allocation,25,MUTAC (MUTUELLE PREVOYANCE OBSEQUE) | FRANCE | Insurance Company / Mutuelle,MUTAC (MUTUELLE PREVOYANCE OBSEQUE),FRANCE,Insurance Company / Mutuelle,68.01,0.0,1239100.0,segment is a natural fit for this fund,low current exposure leaves whitespace for a new sleeve,large existing EdRAM relationship
EdR Fund Big Data,defend,1,CAIXABANK SA / ALLFUNDS | SPAIN | Bank / Private Banking,CAIXABANK SA / ALLFUNDS,SPAIN,Bank / Private Banking,85.78,111150601.0,128950531.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,2,"SINGULAR BANK, S.A.U. / BANCO INVERSIS | SPAIN | Bank / Retail","SINGULAR BANK, S.A.U. / BANCO INVERSIS",SPAIN,Bank / Retail,83.97,43165732.0,48237246.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,3,MATIGNON FINANCES | FRANCE | AM company / Independant,MATIGNON FINANCES,FRANCE,AM company / Independant,82.21,78764.0,37279.0,target fund already matters within this relationship,large installed holding in the target fund,segment is a natural fit for this fund
EdR Fund Big Data,defend,4,WREN INVESTMENT OFFICE | UNITED KINGDOM | Multi Familly Office / Wealth manager,WREN INVESTMENT OFFICE,UNITED KINGDOM,Multi Familly Office / Wealth manager,80.94,16295357.0,16295357.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,5,"EDR EUROPE, SUCCURSALE EN BELGIQUE / Managed | BELGIUM | Bank / EdR Private Banking","EDR EUROPE, SUCCURSALE EN BELGIQUE / Managed",BELGIUM,Bank / EdR Private Banking,80.41,228695799.0,423346688.0,large installed holding in the target fund,large existing EdRAM relationship,target fund already matters within this relationship
EdR Fund Big Data,defend,6,BBVA S.A. / Patrimonios | SPAIN | AM company / Fund of Funds,BBVA S.A. / Patrimonios,SPAIN,AM company / Fund of Funds,79.86,81734599.0,127181554.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,7,ERAFP (Investment Advice) | FRANCE | Pension Fund / Employee Saving Scheme,ERAFP (Investment Advice),FRANCE,Pension Fund / Employee Saving Scheme,79.74,104673877.0,104673877.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,8,FRR (FONDS DE RESERVE POUR LES RETRAITES) | FRANCE | Sovereign / Pension Fund,FRR (FONDS DE RESERVE POUR LES RETRAITES),FRANCE,Sovereign / Pension Fund,79.54,86118526.0,86118526.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,9,"BANCO BPI, S.A. / ALLFUNDS INTERN | PORTUGAL | Bank / Retail","BANCO BPI, S.A. / ALLFUNDS INTERN",PORTUGAL,Bank / Retail,79.22,28622099.0,28927130.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
EdR Fund Big Data,defend,10,RAIFFEISEN BANK INTERNATIONAL AG | AUSTRIA | Bank / Trading Platform,RAIFFEISEN BANK INTERNATIONAL AG,AUSTRIA,Bank / Trading Platform,79.12,5164889.0,5268160.0,large installed holding in the target fund,target fund already matters within this relationship,large existing EdRAM relationship
