manager,group,source_file,global_growth_2026_value,global_growth_2026_why,global_growth_2026_page,global_growth_2026_raw_wording,us_gdp_2026_value,us_gdp_2026_why,us_gdp_2026_page,us_gdp_2026_raw_wording,eurozone_gdp_2026_value,eurozone_gdp_2026_why,eurozone_gdp_2026_page,eurozone_gdp_2026_raw_wording,china_gdp_2026_value,china_gdp_2026_why,china_gdp_2026_page,china_gdp_2026_raw_wording,em_growth_2026_value,em_growth_2026_why,em_growth_2026_page,em_growth_2026_raw_wording,global_inflation_2026_value,global_inflation_2026_why,global_inflation_2026_page,global_inflation_2026_raw_wording,us_inflation_2026_value,us_inflation_2026_why,us_inflation_2026_page,us_inflation_2026_raw_wording,eurozone_inflation_2026_value,eurozone_inflation_2026_why,eurozone_inflation_2026_page,eurozone_inflation_2026_raw_wording,fed_year_end_rate_2026_value,fed_year_end_rate_2026_why,fed_year_end_rate_2026_page,fed_year_end_rate_2026_raw_wording,ecb_deposit_rate_year_end_2026_value,ecb_deposit_rate_year_end_2026_why,ecb_deposit_rate_year_end_2026_page,ecb_deposit_rate_year_end_2026_raw_wording,snb_policy_rate_year_end_2026_value,snb_policy_rate_year_end_2026_why,snb_policy_rate_year_end_2026_page,snb_policy_rate_year_end_2026_raw_wording,eur_usd_2026_value,eur_usd_2026_why,eur_usd_2026_page,eur_usd_2026_raw_wording
Amundi,G2 Market giants,AMUNDI - Perspectives d'investissement 2026.pdf,3.0,AI capex and fiscal support keep global growth resilient,34,"Monde 3,3 3,0 3,1 3,2 2,9 2,5",1.9,AI investment cushions a moderate US slowdown,34,"États-Unis 1,9 1,9 2,0 2,9 3,0 2,2",0.9,European growth stays modest despite fiscal support,34,"Zone euro 1,3 0,9 1,3 2,1 1,7 1,8",4.4,Targeted support keeps China resilient,34,"Chine 4,9 4,4 4,2 0,0 -0,2 -0,2",4.0,Emerging markets stay resilient as the dollar weakens,34,"Pays émergents 4,3 4,0 4,1 3,6 3,2 2,8",2.9,Structural inflation pressure persists globally,34,"Monde 3,3 3,0 3,1 3,2 2,9 2,5",3.0,US inflation remains above target longer,34,"États-Unis 1,9 1,9 2,0 2,9 3,0 2,2",1.7,Eurozone inflation moves back toward target,34,"Zone euro 1,3 0,9 1,3 2,1 1,7 1,8",3.25,Amundi sees gradual Fed easing into late 2026,34,"États-Unis* 4,00 3,25 3,50 3,25 3,10",1.50,ECB stays accommodative with sub-potential growth,34,"Zone euro** 2,00 1,50 1,95 1,50 2,00",,,,,1.19,Structural dollar weakness continues into late 2026,35,"EUR/USD 1,16 1,22 1,20 1,19 1,21"
JP Morgan AM,G2 Market giants,JP Morgan - outlook-2026-fr.pdf,3.25,JP Morgan sees growth broadening across regions,25,Scenario de base la croissance mondiale se generalise.,2.1,U.S. growth stays supported by tax cuts rate cuts and AI,25,La croissance americaine se poursuit soutenue par un nouvel assouplissement de la Reserve federale et les investissements continus dans l IA.,1.4,European growth accelerates on fiscal and monetary support,25,La croissance europeenne devrait s accelerer grace a une relance budgetaire considerable et au soutien continu des precedentes baisses de taux.,,,,,,,,,,,,,,,,,,,,,3.0,JP Morgan sees the Fed moving rates back toward neutral,2,La Reserve federale semble maintenant disposee a ramener son taux directeur a un niveau neutre qu elle estime etre autour de 3 %.,,,,,,,,,,,,
Goldman Sachs AM,G2 Market giants,Goldman Sach - Investment-Outlook-2026_fr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Eurozone inflation stays aligned with target,6,Nous pensons que la BCE va maintenir son taux directeur a 2 % en raison d'une inflation conforme a l'objectif et de l'expansion budgetaire allemande.,3.125,Goldman's soft-landing scenario implies further Fed easing,26,"Atterrissage en douceur ... -75 pb, a 3-3,25 %",2.0,Goldman expects the ECB to hold at 2%,6,Nous pensons que la BCE va maintenir son taux directeur a 2 % en raison d'une inflation conforme a l'objectif et de l'expansion budgetaire allemande.,,,,,,,,
UBS,G2 Market giants,UBS Year Ahead.pdf,3.1,World growth stays resilient into 2026,59,World 3.2 3.1 3.3 3.2,1.7,U.S. growth slows but stays near trend,59,US 1.9 1.7 1.9 2.4,1.1,Eurozone growth remains modest in 2026,59,Eurozone 1.4 1.1 1.4 1.0,4.5,China keeps growth near its target range,59,China 4.9 4.5 4.6 4.2,4.2,Emerging markets retain a clear growth premium,59,EM 4.4 4.2 4.4 4.2,3.0,Global inflation keeps easing in 2026,59,World 3.3 3.0 2.7 2.6,3.0,U.S. inflation stays above target in 2026,59,US 2.8 3.0 2.4 2.2,1.8,Eurozone inflation undershoots the ECB target,59,Eurozone 2.1 1.8 2.0 2.0,3.33,Fed cuts toward neutral and then pauses,60,Fed 3.87 3.33 3.33,2.00,ECB stays on hold through year-end 2026,60,ECB 2.00 2.00 2.00,0.00,SNB holds rates at zero,60,SNB 0.00 0.00 0.00,1.20,UBS sees the euro holding near 1.20,60,EURUSD 1.16 1.20 1.20
AllianzGI,G3 Regional / institutional,AllianzGI_Outlook_2026_EN.pdf,2.7,AI investment and policy support keep global growth resilient,3,We forecast growth of around 2.7% supported by the ongoing AI-driven investment cycle and proactive policy responses in key regions.,1.75,AI capex and fiscal support offset tariff drag in the U.S.,3,"The US economy is expected to remain resilient, though growth will slow to around 1.5-2%, slightly below potential.",1.25,Rising real incomes and German fiscal support lift Europe,4,"Europe is poised for a moderate cyclical recovery, with GDP growth expected at 1-1.5% in 2026.",,,,,,,,,,,,,3.1,Tariffs keep U.S. inflation above target,3,US inflation is set to rise above 3%.,1.9,Eurozone inflation stays below target,4,Inflation is projected to remain below 2%.,3.375,Fed keeps cutting as growth slows and politics intensify,3,The US Federal Reserve is expected to continue cutting rates in 2026 bringing the federal funds target range to 3.25 - 3.50%.,1.75,Soft inflation allows one more ECB cut,4,Inflation is projected to remain below 2% enabling the European Central Bank to cut rates by 25 basis points to 1.75% in the first half of the year.,,,,,,,,
DWS,G3 Regional / institutional,DWS - CEO View 2026.pdf,3.0,Goldilocks backdrop supports steady global growth,1,We do not expect a classical global upswing in 2026 and 2027 but we believe economic growth should provide a sufficiently solid foundation,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Europe inflation moves back to target,1,"In Europe, the inflation rate should fall to an annual average of 2% in 2026",,,,,,,,,,,,,1.25,Dollar safe-haven demand fades over time,1,"our view, the U.S. dollar has partially lost its status as a safe haven and is likely to weaken over time"
BNP Paribas AM,G3 Regional / institutional,BNP-Investment+Outlook+2026_EN.pdf,,,,,,,,,1.4,German fiscal reset helps the eurozone regain momentum,8-9,The Eurozone economy is likely to accelerate in 2026 and the increase in spending on infrastructure and defence should filter through into higher activity in 2026.,,,,,,,,,,,,,,,,,1.9,Falling inflation keeps the eurozone close to target,9,We see scope for further disinflation over the next couple of years.,2.875,BNP sees U.S. rates moving below 3% in 2026,12,For 2026 this suggests substantial reductions in US interest rates to below 3%.,1.50,Two more ECB cuts are implied by BNP's 2026 path,9-12,"We expect the ECB to deliver a couple more interest rate cuts by the end of 2026, with the deposit rate at 2.0% in June 2025.",,,,,,,,
Generali AM,G3 Regional / institutional,GeneraliAM - Outlook_2026.pdf,3.0,Easing trade stress and fiscal support steady world growth,8,We expect global growth at 3.0%.,2.2,Fiscal support and resilient demand lift U.S. growth,9,"We expect growth to accelerate to 2.2% in 2026 (above consensus), supported by looser fiscal policy and slightly lower, but still high, borrowing costs.",1.3,German fiscal impulse strengthens the euro area recovery,10,"2026 annual growth at 1.3%, slightly above the consensus of 1.1%.",4.5,Further stimulus keeps China afloat through 2026,10,Growth is expected to be close to 5% in 2025 slowing to around 4.5% in 2026.,,,,,,,,,3.0,Tariffs lift U.S. core inflation early in 2026,9,"Tariff impacts will lift core PCE inflation to 3% yoy early next year, before giving way to gradual disinflation.",1.8,Eurozone inflation falls below target as wage pressure fades,10,"Overall, annual inflation should fall to 1.8%, after 2.1% in 2025.",3.375,Sticky inflation limits the pace of Fed easing,8,We only expect one further rate cut by the Fed to a terminal rate at 3.25 -3.50%.,2.0,ECB stays on hold with rates in the neutral range,10,With the 2.0% policy rate in the middle of the neutral range we do not expect key rate changes in 2026.,,,,,1.20,Euro area green shoots lift EUR/USD,18,"The weighted average of BTP and OAT spreads over Bunds is consistent with EUR/USD closer to 1.20. Overall, we expect the EUR/USD to trend somewhat higher."
Santander AM,G3 Regional / institutional,Santander AM -Market Outlook 2026 Climbing towards new highs.pdf,3.3,AI and supportive policy keep the global cycle extending,4,World 3.3%,1.6,U.S. growth slows but remains supported by healthy balance sheets,16,We estimate GDP growth of 2% in 2025 and around 1.6% in 2026.,1.0,German stimulus offsets tariff drag and lifts eurozone growth,19,leading to a GDP growth that we estimate of around 1% in 2026.,4.0,China keeps a gradual slowdown under fiscal support,21,We forecast GDP growth of 4% in 2026 compared to 4.9% in 2025.,,,,,,,,,,,,,,,,,3.375,Fed makes one more cut toward a neutral stance,18,"we anticipate that the Fed will end 2025 with interest rates at 3.5%/3.75%, and that in 2026 there will be another 25 bps cut, bringing rates down to 3.25%/3.5%.",1.75,Santander still sees one final ECB cut in early 2026,20,we consider it likely that there will be a further rate cut to 1.75% in the first quarter of 2026 if business confidence does not recover somewhat from its current low level.,,,,,1.16,Santander expects EUR/USD to stay range-bound in 2026,28,We expect the EUR/USD exchange rate to remain within a 1.12-1.20 range in 2026
Anima,G3 Regional / institutional,Anima - GlobalOutlook_2026.pdf,,,,,2.0,Domestic demand and investment keep U.S. growth resilient,10,"Nel 2026, ci aspettiamo che la crescita su base trimestrale si attesti rispettivamente all'1,7% nel primo trimestre, 1,8%, 2,0% e 2,1% nei tre trimestri successivi, con la media annua al 2,0%.",1.0,German fiscal support gradually lifts eurozone activity,16,"coerenti con una stima dell'1,0% per l'intero 2026.",5.0,China stabilises growth with continued support,18,"Il PIL dovrebbe espandersi a un ritmo del 4,9% nel 2025 e stabilizzarsi al 5% nel 2026.",,,,,,,,,2.6,Core disinflation continues through 2026 in the U.S.,10,"Nel 2026, riteniamo che i prezzi al consumo core si attesteranno in media al 2,8% nel primo semestre e 2,4% nel secondo, con la media annua al 2,6%.",1.8,Euro area disinflation continues on softer wages and energy,16,"1,8% nel secondo semestre coerenti con una media annua all'1,8%.",2.875,Fed turns more accommodative as disinflation resumes,19,"Ci aspettiamo che il tasso sui Fed funds scenda leggermente al di sotto della fascia di neutralita (2,75-3%) entro la fine del terzo trimestre 2026.",1.75,ECB makes one final cut and then pauses,20,"Ci aspettiamo che la BCE effettui un ulteriore taglio a marzo e porti il tasso di deposito a 1,75%.",,,,,,,,
M&G Investments,G3 Regional / institutional,M&G - investment-perspectives-outlook-26.pdf,3.0,M&G still sees a resilient global economy,8,The global economy has shown resilience in recent years and the consensus among economists is for a year of moderate growth and inflation in 2026.,2.0,Lower rates and tax cuts support relatively solid U.S. growth,8,US economic growth is relatively solid and the combination of lower interest rates and tax cuts could provide tailwinds in the year ahead.,,,,,,,,,4.1,Emerging markets continue to show robust growth,22,Emerging markets robust economic growth supported by a lower debt burden relative to developed markets.,,,,,3.0,M&G expects U.S. inflation to stay nearer 3% than target,7,inflation will be closer to 3% than 2%.,,,,,,,,,,,,,,,,,,,,
