manager,group,source_file,topic_id,bucket,category,subcategory,view,page,raw_wording,why
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_defense_sovereignty,themes,theme,defense_sovereignty,positive,10,"Nous privilégions également les entreprises qui bénéficieront du thème de la résilience et de la souveraineté, aussi bien au niveau mondial qu’européen, la mise en œuvre du rapport Draghi étant l’un des objectifs prioritaires de la Commission européenne.","Sovereignty is an explicit preferred theme, especially in Europe."
EdRAM,Benchmark,EDRAM - Outlook 2026.pdf,themes_other,themes,theme,other,positive,10-11,"Notre stratégie d’investissement privilégie les thématiques de la résilience, la santé et le Big Data.",Resilience and Big Data are recurring preferred themes beyond the standard buckets.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_overall,equities,overall,overall,positive,2,"Nous abordons l’année 2026 avec un positionnement de portefeuille discipliné, ancré dans les perspectives stratégiques et affichant une diversification robuste entre régions et classes d’actifs.",Constructive but diversified equity stance.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_geography_us,equities,geography,us,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_geography_europe,equities,geography,europe,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_geography_japan,equities,geography,japan,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_geography_em,equities,geography,em,positive,2,"Sur les marchés actions, nous anticipons un élargissement des performances, les prévisions de croissance bénéficiaire au niveau mondial augurant de gains significatifs, notamment sur les marchés émergents.",Emerging markets are a named equity beneficiary of broader market participation.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_geography_china,equities,geography,china,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_size_large_cap,equities,size,large_cap,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_size_small_cap,equities,size,small_cap,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_style_growth,equities,style,growth,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_style_value,equities,style,value,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,equities_style_quality,equities,style,quality,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_overall,fixed_income,overall,overall,positive,2,"Sur les marchés obligataires, la dette émergente offre la meilleure valeur.",Fixed income preference is led by value in EM debt.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_credit_quality_high_yield,fixed_income,credit_quality,high_yield,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_duration,fixed_income,duration,overall,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_segment_government_bonds,fixed_income,segment,government_bonds,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_segment_em_debt,fixed_income,segment,em_debt,positive,2,"Sur les marchés obligataires, la dette émergente offre la meilleure valeur.",EM debt is explicitly called the best value segment.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,fixed_income_segment_inflation_linked,fixed_income,segment,inflation_linked,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,currencies_overall,currencies,overall,overall,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,currencies_usd,currencies,currency,usd,negative,2,"La baisse des taux d’intérêt américains, l’affaiblissement du billet vert, ainsi que la trêve commerciale entre les Etats-Unis et la Chine sont autant de vents porteurs.",Weakening USD is part of the supportive asset backdrop.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,currencies_eur,currencies,currency,eur,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,currencies_jpy,currencies,currency,jpy,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,currencies_em_fx,currencies,currency,em_fx,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,commodities_overall,commodities,overall,overall,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,commodities_gold,commodities,commodity,gold,positive,2,Nous tablons sur une nouvelle progression de l’or ; notre allocation dédiée devrait continuer à apporter de la diversification.,Gold is expected to rise further and diversify portfolios.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,commodities_oil,commodities,commodity,oil,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,commodities_industrial_metals,commodities,commodity,industrial_metals,positive,20,"Les actions liées aux matières premières, en particulier celles du secteur des matériaux, offrent à présent une meilleure valeur et devraient bénéficier des investissements infrastructurels et de l’élargissement des dépenses liées à l’IA en 2026.",Materials and AI-linked commodity exposure benefit from infrastructure and capex.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_ai,themes,theme,ai,mixed,2,"Parallèlement, l’IA transforme les flux de capitaux. Les investisseurs font déjà preuve d’un plus grand discernement quant à l’ampleur des dépenses, et la concentration du marché ne laisse que peu de place à la complaisance.","AI remains important, but the firm stresses selectivity and valuation discipline."
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_healthcare,themes,theme,healthcare,positive,37,"La santé devient un pilier stratégique de l’investissement durable. Les infrastructures de santé, les outils de diagnostic et les plateformes de santé digitale permettent une exposition évolutive tant à l’impact qu’à la croissance.","Healthcare is treated as a strategic, investable resilience theme."
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_energy_transition,themes,theme,energy_transition,positive,34,"L’essor des infrastructures d’IA accélère l’électrification, un thème d’investissement clé dans le cadre de la transition vers la durabilité.",Electrification and decarbonization are explicit structural themes.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_geopolitical_risk,themes,theme,geopolitical_risk,,,,
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_defense_sovereignty,themes,theme,defense_sovereignty,positive,2,"En Europe, la capacité de l’Allemagne à mettre en œuvre ses projets d’investissement dans les infrastructures, la technologie et la défense sera déterminante. La Chine entend profiter de sa trêve commerciale avec les Etats-Unis pour renforcer son indépendance technologique.",Defense and technological sovereignty are framed as key strategic drivers.
Lombard Odier,G1 Direct peers,Lombard Odier - Perspectives 2026.pdf,themes_other,themes,theme,other,positive,37,"L’eau devient un enjeu géopolitique et économique majeur, et les entreprises proposant des technologies d’analyse et de purification évolutives à bas coût sont susceptibles d’attirer des capitaux liés à l’action climatique.",Water and climate adaptation form an additional thematic opportunity.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_overall,equities,overall,overall,positive,unpaginated,Le contexte favorable devrait soutenir la croissance mondiale en 2026 et réduire les écarts creusés par l’économie en K.,Pictet keeps a constructive cross-market baseline for 2026.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_geography_us,equities,geography,us,positive,unpaginated,"Aux Etats-Unis, la croissance devrait s’accélérer en début d’année dans le sillage de la fin de la paralysie budgétaire et des promesses de soutien.",The US is still supported early in 2026 by fiscal follow-through.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_geography_europe,equities,geography,europe,positive,unpaginated,"En Europe, la reprise s’appuiera sur le vaste programme budgétaire de l’Allemagne et sur l’intégration économique qui doit renforcer la compétitivité dans l’énergie, la finance et les communications.",Europe is supported by German stimulus and single-market deepening.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_geography_japan,equities,geography,japan,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_geography_em,equities,geography,em,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_geography_china,equities,geography,china,positive,unpaginated,Une accélération plus tardive est attendue en Chine. Le pays devrait tirer profit de l’atténuation des incertitudes commerciales et de la politique anti-involution menée par Pékin.,China is expected to improve later in the year with policy support.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_size_large_cap,equities,size,large_cap,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_size_small_cap,equities,size,small_cap,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_style_growth,equities,style,growth,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_style_value,equities,style,value,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,equities_style_quality,equities,style,quality,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_overall,fixed_income,overall,overall,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_credit_quality_high_yield,fixed_income,credit_quality,high_yield,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_duration,fixed_income,duration,overall,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_segment_government_bonds,fixed_income,segment,government_bonds,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_segment_em_debt,fixed_income,segment,em_debt,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,fixed_income_segment_inflation_linked,fixed_income,segment,inflation_linked,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,currencies_overall,currencies,overall,overall,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,currencies_usd,currencies,currency,usd,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,currencies_eur,currencies,currency,eur,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,currencies_jpy,currencies,currency,jpy,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,currencies_em_fx,currencies,currency,em_fx,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,commodities_overall,commodities,overall,overall,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,commodities_gold,commodities,commodity,gold,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,commodities_oil,commodities,commodity,oil,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,commodities_industrial_metals,commodities,commodity,industrial_metals,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_ai,themes,theme,ai,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_healthcare,themes,theme,healthcare,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_energy_transition,themes,theme,energy_transition,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_geopolitical_risk,themes,theme,geopolitical_risk,,,,
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_defense_sovereignty,themes,theme,defense_sovereignty,positive,unpaginated,"Les technologies spatiales et militaires recèlent un potentiel de croissance important pour l’Europe, d’autant que les investissements allemands se concentrent sur les infrastructures et la défense.",Defense and strategic autonomy are explicit European growth themes.
Pictet,G1 Direct peers,Pictet - Perspectives 2026.docx,themes_other,themes,theme,other,positive,unpaginated,"L’Union européenne poursuit le processus d’intégration économique et a fixé à 2028 le délai d’achèvement du marché unique, afin de renforcer la compétitivité dans l’énergie, la finance et les communications.",European integration is treated as a structural theme in its own right.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_overall,equities,overall,overall,positive,4,"Ce cadre demeure propice aux marchés d’actions, au crédit et, plus largement, aux actifs risqués, tout en justifiant davantage de prudence à l’égard des obligations souveraines.","Constructive on risk assets, with selectivity and sovereign caution."
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_geography_us,equities,geography,us,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_geography_europe,equities,geography,europe,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_geography_japan,equities,geography,japan,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_geography_em,equities,geography,em,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_geography_china,equities,geography,china,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_size_large_cap,equities,size,large_cap,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_size_small_cap,equities,size,small_cap,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_style_growth,equities,style,growth,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_style_value,equities,style,value,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,equities_style_quality,equities,style,quality,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_overall,fixed_income,overall,overall,positive,5,"À mesure que le cycle progresse, la sélectivité devient déterminante. Nous privilégions un portage défensif, reposant sur des émetteurs solides.",Fixed income is used for selective carry and defense.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,positive,5,"La forte dispersion entre émetteurs, notations et secteurs permet de bâtir des portefeuilles générant un rendement moyen de 5% avec un profil investment grade assurant un équilibre efficace entre risque et rémunération attendue.",Prefers solid issuers with an investment-grade profile.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_credit_quality_high_yield,fixed_income,credit_quality,high_yield,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_duration,fixed_income,duration,overall,short,5,"Les obligations à 30 ans émises par des pays aux finances publiques dégradées n’offrent pas une rémunération suffisante. Nous préférons les éviter, voire adopter des positions vendeuses sur ces dernières.",Long sovereign duration is explicitly avoided.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_segment_government_bonds,fixed_income,segment,government_bonds,negative,5,"Les obligations à 30 ans émises par des pays aux finances publiques dégradées n’offrent pas une rémunération suffisante. Nous préférons les éviter, voire adopter des positions vendeuses sur ces dernières.",Nominal long-dated sovereign bonds are unattractive.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_segment_em_debt,fixed_income,segment,em_debt,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,fixed_income_segment_inflation_linked,fixed_income,segment,inflation_linked,positive,5,"Ce contexte est favorable aux obligations indexées à l’inflation. Elles combinent ainsi portage, protection et convexité.",Inflation linkers are preferred for carry and protection.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,currencies_overall,currencies,overall,overall,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,currencies_usd,currencies,currency,usd,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,currencies_eur,currencies,currency,eur,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,currencies_jpy,currencies,currency,jpy,positive,6,"Les couvertures les plus pertinentes se trouvent aujourd’hui dans les CDS, le yen japonais et l’or.",Yen is treated as a key hedge.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,currencies_em_fx,currencies,currency,em_fx,positive,5,"Le peso chilien, le rand sud-africain et le dollar australien se distinguent par l’amélioration des termes de l’échange, la discipline budgétaire ou l’exposition aux matières premières.",Commodity- and reform-supported FX are preferred.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,commodities_overall,commodities,overall,overall,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,commodities_gold,commodities,commodity,gold,positive,6,"Les couvertures les plus pertinentes se trouvent aujourd’hui dans les CDS, le yen japonais et l’or.",Gold is a named hedge.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,commodities_oil,commodities,commodity,oil,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,commodities_industrial_metals,commodities,commodity,industrial_metals,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_ai,themes,theme,ai,mixed,4,"L’IA et la technologie restent une tendance haussière alimentée par des forces structurelles, mais la principale inquiétude porte sur l’ampleur de l’engouement autour de ce thème très populaire.","Structural AI upside remains, but crowding and bubble risk are acknowledged."
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_healthcare,themes,theme,healthcare,positive,4,Nous associons les leaders technologiques aux valeurs défensives des secteurs de la santé et de la consommation de base.,Healthcare is one half of the equity barbell.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_energy_transition,themes,theme,energy_transition,positive,5,"La fin de la Pax Americana remet la souveraineté nationale au centre des priorités industrielles, entraînant des investissements majeurs dans la défense, les infrastructures et l’électrification.",Electrification is an explicit industrial theme.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_geopolitical_risk,themes,theme,geopolitical_risk,,,,
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_defense_sovereignty,themes,theme,defense_sovereignty,positive,5,"La fin de la Pax Americana remet la souveraineté nationale au centre des priorités industrielles, entraînant des investissements majeurs dans la défense, les infrastructures et l’électrification.",Defense and sovereignty are central themes.
Carmignac,G1 Direct peers,Carmignac - perspectives-2026-3539-12373.pdf,themes_other,themes,theme,other,positive,4,Nous associons les leaders technologiques aux valeurs défensives des secteurs de la santé et de la consommation de base.,Staples / defensive consumption is part of the barbell theme set.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_overall,equities,overall,overall,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_geography_us,equities,geography,us,positive,8,"Action for investors: within developed markets, remain focused on the US in terms of growth prospects.",EFG keeps the US as the preferred developed-market equity exposure.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_geography_europe,equities,geography,europe,mixed,8,In Europe the growth outlook is mixed. The lagged impact of lower European Central Bank rates will provide a tailwind to regional growth in 2026 and the German economy is expected to receive a significant boost from higher fiscal spending.,"Europe has support from rates and fiscal policy, but the view is not cleanly bullish."
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_geography_japan,equities,geography,japan,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_geography_em,equities,geography,em,positive,8,Emerging markets with strong domestic growth prospects should remain attractive for investors.,EFG remains constructive on selective EM equity exposure.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_geography_china,equities,geography,china,positive,8,"Despite structural headwinds, China is still set to be the predominant emerging economy. The rapid adoption of new technology, notably in green energy, artificial intelligence and electrification, remains an important strength.",China is still treated as the dominant EM growth and technology platform.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_size_large_cap,equities,size,large_cap,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_size_small_cap,equities,size,small_cap,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_style_growth,equities,style,growth,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_style_value,equities,style,value,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,equities_style_quality,equities,style,quality,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_overall,fixed_income,overall,overall,positive,11,There remains value in shorter- to mid-term duration exposure. This environment allows investors to borrow at the short end of the yield curve and invest further out to capture attractive carry opportunities.,The bond stance is constructive through carry rather than deep duration risk.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_credit_quality_investment_grade,fixed_income,credit_quality,investment_grade,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_credit_quality_high_yield,fixed_income,credit_quality,high_yield,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_duration,fixed_income,duration,overall,short,11,There remains value in shorter- to mid-term duration exposure.,EFG prefers shorter-to-intermediate duration rather than long-duration risk.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_segment_government_bonds,fixed_income,segment,government_bonds,negative,13,There are several markets — notably France and the UK — for which fiscal sustainability will be questioned in 2026. Pledges to bring government finances under control may pacify the sharks for a while but when confidence evaporates bond markets will look vulnerable once again.,Government-bond exposure is constrained by fiscal-sustainability risk.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_segment_corporate_bonds,fixed_income,segment,corporate_bonds,,,,
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_segment_em_debt,fixed_income,segment,em_debt,positive,11,Look for opportunities in high-yielding emerging sovereign markets where there is the prospect of capital gains as long-term yields decline.,Local EM sovereign debt is one of the clearer preferred bond segments.
EFG,G1 Direct peers,EFG_outlook_2026.pdf,fixed_income_segment_inflation_linked,fixed_income,segment,inflation_linked,,,,
